presynaptic,postsynaptic,weight 148,weight 107,Average weight,,,,
I1,e3,2,1,1.5,,,,
I1,g1D,8,18,13,,,,
I1,I5,4,10,7,,,,
I1,M2,1,1,1,,,,
I1,M3,11,18,14.5,,,,
I1,MI,3,5,4,,,,
I1,pm1,3,2,2.5,,,,
I1,pm4,1,2,1.5,,,,
I2,e3,1,1,1,,,,
I2,I1,7,11,9,,,,
I2,I6,5,2,3.5,,,,
I2,M1,7,13,10,,,,
I2,M3,7,2,4,,,,
I2,MC,2,1,1.5,,,,
I2,NSM,3,3,3,,,,
I2,pm3,5,10,7.5,,,,
I2,pm4,10,14,12,,,,
I2,pm5,7,3,5,,,,
I3,I2,2,1,1.5,,,,
I3,I6,1,1,1,,,,
I3,M1,2,2,2,,,,
I3,MC,3,2,2.5,,,,
I3,MI,6,4,5,,,,
I3,pm4,3,3,3,,,,
I4,I2,1,1,1,,,,
I4,I3,1,1,1,,,,
I4,I5,4,5,4.5,,,,
I4,M3,2,1,1.5,,,,
I4,M4,1,1,1,,,,
I4,MC,2,2,2,,,,
I4,MI,3,5,4,,,,
I5,e1,10,4,7,,,,
I5,e3,4,3,3.5,,,,
I5,MC,1,1,1,,,,
I5,pm4,14,18,18,,,,
I6,bm,1,1,1,,,,
I6,I1,4,4,4,,,,
I6,M3,3,6,5,,,,
I6,NSM,3,2,2.5,,,,
I6,pm5,2,4,3,,,,
M1,e2,5,1,3,,,,
M1,e3,6,9,8,,,,
M1,g1D,9,17,13,,,,
M1,I1,16,21,18.5,,,,
M1,I2,21,29,25.5,,,,
M1,I3,5,6,5.5,,,,
M1,pm1,12,11,11.5,,,,
M1,pm2,6,3,4.5,,,,
M1,pm3,22,38,30,,,,
M1,pm4,3,1,2,,,,
M2,I5,5,14,9.5,,,,
M2,mc2,13,8,10.5,,,,
M2,NSM,5,10,7.5,,,,
M2,pm4,3,1,2,,,,
M2,pm5,5,3,4,,,,
M3,g1D,2,1,1.5,,,,
M3,pm4,11,13,12,,,,
M4,g1V,3,11,7,,,,
M4,mc3,6,3,4.5,,,,
M4,pm5,31,36,33.5,,,,
M4,pm6,4,6,5,,,,
M5,pm5,8,17,12.5,,,,
MC,mc2,16,5,10.5,,,,
MC,pm4,13,11,12,,,,
MI,I3,3,1,2,,,,
MI,I5,4,4,4,,,,
MI,M1,3,2,2,,,,
MI,M3,3,2,2.5,,,,
MI,MC,2,1,2,,,,
MI,pm4,1,1,1,,,,
NSM,bm,25,36,30.5,,,,
NSM,g1V,4,9,6.5,,,,
NSM,I4,7,4,5.5,,,,
NSM,I5,14,15,14.5,,,,
NSM,I6,4,2,3,,,,
NSM,M2,10,8,9,,,,
NSM,pm5,19,18,18.5,,,,
NSM,pm8,3,1,2,,,,